election_id,election_name,votetype_id,votetype_description,date,rs,election_type
2633,Kreistagswahl 2024 - Stadt Scheer,0,NA,2024-06-09,84375002101,5
429,Bundestagswahl 2017 - Stadt Mengen,0,Erststimmen,2017-09-24,84375002076,2
429,Bundestagswahl 2017 - Stadt Mengen,1,Zweitstimmen,2017-09-24,84375002076,2
1423,Europawahl 2019 - Stadt Mengen,0,NA,2019-05-26,84375002076,1
4298,Gemeinderat 2019 - Stadt Mengen,0,NA,2019-05-26,84375002076,6
4412,Ortschaftsrat Ennetach 2019 - Ennetach,0,NA,2019-05-26,84375002076,8
6480,Ortschaftsrat Rosna 2019 - Rosna,0,NA,2019-05-26,84375002076,8
6478,Ortschaftsrat Beuren 2019 - Beuren,0,NA,2019-05-26,84375002076,8
6479,Ortschaftsrat Rulfingen 2019 - Rulfingen,0,NA,2019-05-26,84375002076,8
6477,Ortschaftsrat Blochingen 2019 - Blochingen,0,NA,2019-05-26,84375002076,8
2154,Kreistagswahl 2019 - Stadt Mengen,0,NA,2019-05-26,84375002076,5
468,Bundestagswahl 2021 - Stadt Mengen,0,Erststimmen,2021-09-26,84375002076,2
468,Bundestagswahl 2021 - Stadt Mengen,1,Zweitstimmen,2021-09-26,84375002076,2
1763,Europawahl 2024 - Stadt Mengen,0,NA,2024-06-09,84375002076,1
6468,Gemeinderat 2024 - Stadt Mengen,0,NA,2024-06-09,84375002076,6
6938,Ortschaftsrat Ennetach 2024 - Ennetach,0,NA,2024-06-09,84375002076,8
6942,Ortschaftsrat Rulfingen 2024 - Rulfingen,0,NA,2024-06-09,84375002076,8
6941,Ortschaftsrat Beuren 2024 - Beuren,0,NA,2024-06-09,84375002076,8
6939,Ortschaftsrat Rosna 2024 - Rosna,0,NA,2024-06-09,84375002076,8
6940,Ortschaftsrat Blochingen 2024 - Blochingen,0,NA,2024-06-09,84375002076,8
2633,Kreistagswahl 2024 - Stadt Mengen,0,NA,2024-06-09,84375002076,5
7164,Bürgermeisterwahl 14.07.2024 - Stadt Mengen,0,NA,2024-07-14,84375002076,7
429,Bundestagswahl 2017 - Gemeinde Hohentengen,0,Erststimmen,2017-09-24,84375002053,2
429,Bundestagswahl 2017 - Gemeinde Hohentengen,1,Zweitstimmen,2017-09-24,84375002053,2
1423,Europawahl 2019 - Gemeinde Hohentengen,0,NA,2019-05-26,84375002053,1
2154,Kreistagswahl 2019 - Gemeinde Hohentengen,0,NA,2019-05-26,84375002053,5
468,Bundestagswahl 2021 - Gemeinde Hohentengen,0,Erststimmen,2021-09-26,84375002053,2
468,Bundestagswahl 2021 - Gemeinde Hohentengen,1,Zweitstimmen,2021-09-26,84375002053,2
